Name,NameCH,Link,Image,Calories,Ingredients,Sweetness,Temp,Size,PrepTime,Almond Flakes,Almond Pudding,Almond Soup,Black Sugar Boba,Boba,Caramel Pudding,Coco Mochi,Coco Sago Soup,Coconut Milk,Condensed Milk,Crystal Mochi,Grass Jelly,Hot Red Bean Soup,Ice Cream,Mango,Mango Syrup,Melon Jelly,Milk Tea Sauce,Mini Q,Peanuts,Potaro Balls,Purple Rice Soup,Q Mochi,Red Bean Soup,Red Beans,Rice Balls,Sago,Sesame Rice Balls,Shaved Ice,Strawberry,Strawberry Syrup,Taro,Taro Balls,Taro Paste
Hot Purple Rice Soup Signature ,招牌热紫米汤,https://www.meetfresh.us/hot-purple-rice-soup-signature/,https://meetfresh.us/wp-content/uploads/2025/02/01-Cold-hot-Purple-Rice-Soup-Signature-2024.png,627,"Taro, Potaro Balls, Rice Balls, Purple Rice Soup",Low,Hot,One Size,4 - 6 min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
Purple Rice Soup Combo A ,紫米汤A,https://www.meetfresh.us/purple-rice-soup-combo-a/,https://meetfresh.us/wp-content/uploads/2021/04/purple-rice-soup-A-紫米粥A.png,830,"Red Beans, Peanuts, Boba, Purple Rice Soup",Low,Icy and Hot,One Size,4 - 6 min,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Purple Rice Soup Combo B ,紫米汤B,https://www.meetfresh.us/purple-rice-soup-combo-b/,https://meetfresh.us/wp-content/uploads/2025/02/04-Purple-Rice-Soup-B-Cold-Hot-2024.png,670,"Taro, Red Beans, Boba, Purple Rice Soup",Low,Icy and Hot,One Size,7 - 9 min,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
Purple Rice Soup Combo C ,紫米汤C,https://www.meetfresh.us/purple-rice-soup-combo-c/,https://meetfresh.us/wp-content/uploads/2021/04/purple-rice-soup-C-紫米粥C.jpg,763,"Melon Jelly, Rice Balls, Boba, Purple Rice Soup",Low,Icy and Hot,One Size,1 - 3 min,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Crystal Mochi Milk Shaved Ice ,凉果子牛奶冰,https://meetfresh.us/crystal-mochi-milk-shaved-ice/,https://meetfresh.us/wp-content/uploads/2023/05/Crystal-Mochi-Milk-Shaved-Ice-2048x2031.png,1348,"Crystal Mochi, Red Beans, Rice Balls, Melon Jelly, Ice Cream",High,Icy,M and L,7 - 9 min,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Pudding & Q Mochi Milk Shaved Ice ,布丁Q麻薯牛奶冰,https://www.meetfresh.us/pudding-q-mochi-milk-shaved-ice/,https://meetfresh.us/wp-content/uploads/2021/04/Pudding-Q-Mochi-Milk-Shaved-Ice.png,1267,"Almond Pudding, Caramel Pudding, Mini Q, Q Mochi, Melon Jelly, Ice Cream",High,Icy,M and L,7 - 9 min,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Q Mochi Milk Shaved Ice ,芋薯圆Q麻薯牛奶冰,https://www.meetfresh.us/q-mochi-milk-shaved-ice/,https://meetfresh.us/wp-content/uploads/2023/04/Q-Mochi-Potaro-Ball-Milk-Shaved-Ice.png,1152,"Mini Q, Melon Jelly, Potaro Balls, Q Mochi, Ice Cream",High,Icy,M and L,1 - 3 min,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Black Sugar Boba Milky Shaved Ice ,黑糖珍珠奶茶冰,https://www.meetfresh.us/black-sugar-boba-milky-shaved-ice/,https://meetfresh.us/wp-content/uploads/2021/03/Black-sugar-boba-milky-黑糖珍珠奶茶冰.png,2498,"Black Sugar Boba, Red Beans, Milk Tea Sauce, Caramel Pudding, Ice Cream",High,Icy,M and L,7 - 9 min,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Taro Paste Volcano Shaved Ice,芋泥火山冰,https://www.meetfresh.us/taro-paste-volcano-shaved-ice/,https://meetfresh.us/wp-content/uploads/2025/02/thumbnail.png,991,"Boba, Red Beans, Caramel Pudding, Mini Q, Taro, Taro Paste, Ice Cream",High,Icy,M and L,1 - 3 min,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
Strawberry Milk Shaved Ice ,草莓牛奶冰,https://www.meetfresh.us/strawberry-milk-shaved-ice/,https://meetfresh.us/wp-content/uploads/2021/04/Strawberry-Milk-Shaved-Ice.png,879,"Strawberry, Strawberry Syrup, Condensed Milk, Ice Cream",High,Icy,M and L,1 - 3 min,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Mango Milk Shaved Ice ,芒果牛奶冰,https://www.meetfresh.us/mango-milk-shaved-ice/,https://meetfresh.us/wp-content/uploads/2021/03/Mango-Milk-芒果牛奶冰.jpg,753,"Mango, Mango Syrup, Condensed Milk, Ice Cream",High,Icy,M and L,4 - 6 min,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mangoberry Milk Shaved Ice ,双子星冰,https://www.meetfresh.us/mangoberry-milk-shaved-ice/,https://meetfresh.us/wp-content/uploads/2021/03/Mangoberry-milk-雙子星冰-scaled.jpg,1037,"Mango, Strawberry, Mango Syrup, Strawberry Syrup, Condensed Milk, Ice Cream",High,Icy,M and L,7 - 9 min,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
